round,client_id,epoch,train_loss,val_loss,der,acc
5,2,3,30.846384048461914,,0.2432432432432426,0.40026729034413633
5,2,4,327.6656494140625,,0.40080080080080616,0.331105913798864
5,2,5,322.3841857910156,,0.4338338338338398,0.2759772803207484
6,2,1,1.2408026456832886,,0.03422313483915136,0.9657768651608487
6,2,2,753.3670654296875,,0.026009582477755016,0.973990417522245
6,2,3,3.6480722427368164,,0.026009582477755016,0.973990417522245
6,2,4,21.28089141845703,,0.026009582477755016,0.973990417522245
6,2,5,32.81782913208008,,0.06844626967830247,0.9315537303216974
7,2,1,2.131397008895874,,0.34774774774775535,0.41964584029401936
7,2,2,946.9151611328125,,0.40080080080080077,0.331105913798864
7,2,3,143.736572265625,,0.3263263263263336,0.4553959238222519
7,2,4,81.36555480957031,,0.3983983983983983,0.33511526896090876
7,2,5,34.508636474609375,,0.39619619619619656,0.33879051119278314
8,2,1,2.26204514503479,,0.420620620620625,0.24290010023387906
8,2,2,10.944157600402832,,0.40080080080080616,0.331105913798864
8,2,3,42.18655014038086,,0.43243243243243784,0.25492816572001337
8,2,4,29.5009708404541,,0.39879879879880425,0.334447043100568
8,2,5,29.40363883972168,,0.3695695695695745,0.363848980955563
9,2,1,1.9519734382629395,,0.5126625598904863,0.487337440109514
9,2,2,296.60028076171875,,0.026009582477755016,0.973990417522245
9,2,3,5.838901996612549,,0.026009582477754964,0.973990417522245
9,2,4,0.8236185312271118,,0.026009582477754895,0.973990417522245
9,2,5,3.2344491481781006,,0.4010951403148534,0.6002737850787132
